ORDER;TITLE;BOX OFFICE;YOUTUBE;;
1;The Godfather;135000000;1,262,931;;
2;The Visitor;94200000;375,649;;
3;Gangs of New York;77700000;926,869;;
4;The Terminal;77000000;419,345;;
5;The Godfather: Part II;57300000;1,971,251;;
6;An American Tail;47500000;299,796;;
7;West Side Story;43600000;459,434;;
8;Spanglish;42000000;787,236;;
9;Babel;34300000;1,157,221;;
10;Bend It Like Beckham;32500000;1,437,791;;
11;Green Card;29900000;68,93;;
12;Machete;26600000;2,822,311;;
13;Moscow on the Hudson;25100000;18,875;;
14;Across the Sea of Time;16000000;5,477;;
15;Avalon;15700000;63,834;;
16;In America;15500000;15,299;;
17;The Namesake;13600000;334,594;;
18;Angela's Ashes;13000000;556,041;;
19;House of Sand and Fog;13000000;22,453;;
20;Under the Same Moon;12600000;642,571;;
21;Dirty Pretty Things;8110000;68,556;;
22;The Border;6110000;20,77;;
23;Biutiful;5100000;290,653;;
24;Mao's Last Dancer;4810000;236,447;;
25;A Day Without a Mexican;4180000;64,35;;
26;Dancer in the Dark;4160000;531,669;;
27;The Perez Family;2830000;17,705;;
28;Est - Ouest;2780000;28,482;;
29;Sin Nombre;2530000;1,087,864;;
30;Frozen River;2510000;326,123;;
31;My Beautiful Laundrette;2451000;129,312;;
32;Stranger Than Paradise;2436000;61,991;;
33;Brooklyn;2170000;1,019,346;;
34;Monsieur Lazhar;2010000;228,836;;
35;The Immigrant;1980000;603,108;;
36;A Better Life;1750000;1,348,259;;
37;Heaven's Gate;1500000;165,976;;
38;Three Colors: White;1460000;49,065;;
39;Brick Lane;1090000;103,233;;
40;Golden Door;1060000;42,554;;
41;Fast Food Nation;1000000;720,936;;
