ORDER;TITLE;GENERE 1;GENERE 2;GENERE 3;;
1;The Emigrants;Drama;History;;;
2;A Better Life;Drama;;;;
3;America America;Drama;;;;
4;Crossing Over;Drama;;;;
5;Gangs of New York;Crime;Drama;History;;
6;Golden Door;Drama;History;Romance ;;
7;The Immigrant;Drama;Romance;;;
8;The Visitor;Drama;;;;
9;Amreeka;Drama;;;;
10;Dirty Pretty Things;Crime;Drama;Thriller;;
11;House of Sand and Fog;Drama;;;;
12;The Border;Action;Crime;Drama;;
13;The Godfather: Part II;Crime;Drama;;;
14;...And the Pursuit of Happiness;Documentary;;;;
15;An American Tail;Animation;Comedy;Drama;;
16;Avalon;Drama;;;;
17;Bend It Like Beckham;Comedy;Drama;Romance;;
18;Dancer in the Dark;Crime;Drama;Musical ;;
20;Fast Food Nation;Comedy;Drama;Romance ;;
21;Green Card;Comedy;Drama;Romance ;;
22;Heaven's Gate;Western;;;;
23;Immigrants;Action;Crime;Drama;;
24;In America;Drama;;;;
25;Sin Nombre;Adventure;Crime;Drama;;
26;Terraferma;Drama;;;;
27;The Glass Wall;Drama;Film-Noir ;;;
28;The Other Side of Immigration;Documentary;;;;
29;The Perez Family;Comedy;Romance;Drama;;
30;Ali: Fear Eats the Soul;Romance;Drama;;;
31;An American Rhapsody;Drama;;;;
32;Babel;Drama;;;;
33;Black Hand;Crime;Thriller;;;
34;Bread and Roses;Drama;;;;
35;El Norte;Drama;Thriller;Advendurte;;
36;Est - Ouest;Drama;History;Romance;;
37;Flores de Otro Mundo;Drama;Comedy;;;
38;Frontera;Adventure;Action;Crime;;
39;Ghosts;Drama;Adventure;;;
40;Goodbye, Miss 4th of July;Drama;;;;
41;Illegal;Drama;;;;
42;L'ange de goudron;Drama;;;;
43;Las cartas de Alou;Drama;;;;
44;Moscow on the Hudson;Comedy;Drama;Romance;;
45;Spanglish;Comedy;Drama;Romance;;
46;The Harvest/La Cosecha;Documentary;;;;
47;The Italian;Drama;;;;
48;The Namesake;Drama;;;;
49;The New Land;Drama;;;;
50;The Swissmakers;Comedy;;;;
51;Under the Same Moon;Drama;;;;
52;...And the Earth Did Not Swallow Him;Drama;;;;
53;A Day Without a Mexican;Drama;Comedy;Fantasy;;
54;Across the Sea of Time;Adventure;Drama;Family;;
55;Almost a Woman;Drama;;;;
56;Amanecer;Short;Drama;Family;;
57;American Harvest;Documentary;;;;
58;Anchor Baby;Drama;Thriller;;;
59;Angela's Ashes;Drama;;;;
60;Annie Was a Wonder;Short;;;;
61;Beautiful People;Comedy;Drama;War;;
62;Beyond Our Dreams;Adventure;Drama;Romance;;
63;Biutiful;Drama;;;;
64;Black Legion;Crime;Drama;Film-Noir;;
65;Bolivia;Drama;;;;
66;The Border (Border Cop);Action;Drama;Thriller;;
67;Border Incident;Crime;Drama;Film-Noir;;
68;Bread and Chocolate;Comedy;Drama;;;
69;Brick Lane;Drama;;;;
70;Bride Flight;Drama;;;;
71;Broken English;Drama;Romance;;;
72;Brooklyn;Drama;Romance;;;
73;Citizen USA: A 50 State Road Trip;Documentary;;;;
74;Ellis Island;Crime;Drama;Romance;;
75;Espaldas mojadas;Crime;Drama;;;
76;La prima neve (First Snowfall);Drama;;;;
77;From the Edge of the City;Crime;Drama;;;
78;From the Other Side;Documentary;;;;
79;Frozen River;Crime;Drama;;;
80;Gaijin - Os Caminhos da Liberdade (Gaijin: Roads to Freedom);Drama;;;;
81;Ospiti (Guests);Comedy;Drama;;;
82;Head-On;Drama;Romance;;;
83;Hester Street;;;;;
84;I Love Vienna;Comedy;;;;
85;Im Land meiner Eltern;Documentary;;;;
86;In This World;Drama;;;;
87;Inch'Allah Dimanche;Biography;Drama;;;
88;It's a Free World...;Drama;;;;
89;Junk Food;Crime;Drama;;;
90;Katzelmacher;Drama;;;;
91;Lonely in America;Comedy;Romance;;;
92;Lucky Miles;Adventure;Comedy;Drama;;
93;Machete;Action;Crime;Thriller;;
94;Made in L.A.;Documentary;;;;
95;Man Push Cart;Drama;;;;
96;Mao's Last Dancer;Biography;Drama;Music;;
97;Monsieur Lazhar;Comedy;Drama;;;
98;My Beautiful Laundrette;Comedy;Drama;Romance;;
99;My Boy;Comedy;Drama;;;
100;Northless;Drama;;;;
101;Princesas;Drama;;;;
102;Romance in Manhattan;Comedy;Drama;;;
103;Safrana ou le droit … la parole;Drama;;;;
104;Samba;Comedy;Drama;;;
105;Scarface;Crime;Drama;;;
106;Silver City;Drama;;;;
107;Sorry, Haters;Drama;Thriller;;;
108;Stranger Than Paradise;Comedy;Drama;;;
109;The City;Documentary;;;;
110;The Elevator Operator;Documentary;Short;;;
111;The Girl Who Spelled Freedom;Adventure;Biography;Drama;;
112;The Godfather;Crime;Drama;;;
113;The Hand That Feeds;Documentary;Drama;News;;
114;The Man Who Cried;Drama;Music;Romance;;
115;The March;Drama;;;;
116;The Romanians Are Coming;Documentary;;;;
117;The Secret of the Grain;Drama;;;;
118;The Terminal;Comedy;Drama;;;
119;Trois couleurs: Blanc (Three Colors: White);Comedy;Drama;Mistery;;
120;Unnatural Causes;Documentary;;;;
121;Vesna va veloce;Drama;;;;
122;West Side Story;Crime;Drama;Musical;;
