ORIGIN;DESTINATION
Sweden;United States
Messico;United States
Turky;United States
Worldwide;United States
Ireland;United States
Italy;United States
Poland;United States
West Africa;United States
Palestin;United States
Nigeria;United Kindom
Iran;United States
??;Canada
Italy;United States
Africa;United States
Russia;United States
Poland;
India;United Kindom
Europe;United States
Mexico;United States
France;United States
Europe;United States
Israel;United States
Ireland;United States
Mexico;United States
Europe;Italy
Hungary;United States
Mexico;United States
Cuba;United States
Marocco;Germany
Hungary;United States
Worldwide;Worldwide
Italy;United States
Mexico;United States
Guatemala;United States
Russia;France
Dominican republic;Spain
Mexico;United States
China;United Kindom
Greece;United States
Russia;Belgium
Algeria ;Canada
Senegal;Spain
Russia;United States
Mexico;United States
Latin America;United States
Italy;United States
India;United States
Sweden;United States
Italy;Switzerland
Mexico;United States
Mexico;United States
Mexico;United States
Russia;United States
United States;Puerto Rico
Colombia;Australia
Mexico;United States
Nigeria;United States
Ireland;United States
Sweden;United States
Yugoslavia;England
Kurdistan;Europe
China;Spain
Poland;United States
Bolivia;Argentina
Mexico;United States
Mexico;United States
Italy;Switzerland
Bangladesh;United Kindom
Netherlands;New Zealand
Croatia;New Zealand
Ireland;United States
Worldwide;United States
;United States
Mexico;United States
Togo;Italy
Balkans;Greece
Mexico;United States
Canada;United States
Japan;Brazil
Albania;Italy 
Turkey;Germany
Russia;United States
Iran;Austria
;Germany
Afghanistan;England
Algeria;France
Poland;England
Pakistan;Japan
Greece;Germany
India;United States
Iraq;Australia
Mexico;United States
Latin american;United States
Pakistan;United States
China;United States
Algeria;Canada
Pakistan;England
France;United States
Mexico;United States
Dominican Republic;Spain
Czech Republic;United States
North Africa;France
Senegal;France
Cuba;United States
Poland;Australia
Siria;United States
Hungary;United States
Worldwide;United States
Ucrania;United States
Cambodia;United States
Italy;United States
Mexico;United States
Russia;France
Africa;Europe
Romania;United Kindom
Magreb;France
East Europe;United States
Poland;France
Worldwide;United States
Czech Republic;Italy
Puerto Rico;United States
United Kingdom;United States
West Asia;United States
Asia;United States
Africa;Spain
Mohawk reservation;United States
Cambodia;Australia
